,Algorithm,Parameter,Attempt,Iterations,Time (s),Max Tile
0,Expectimax,3,1,921,8.9598,1024.0
1,Expectimax,3,2,751,7.6132,1024.0
2,Expectimax,3,3,483,5.5397,512.0
3,Expectimax,3,4,816,8.8831,1024.0
4,Expectimax,3,5,491,5.6286,512.0
5,Expectimax,3,6,677,7.4547,1024.0
6,Expectimax,3,7,797,8.4105,1024.0
7,Expectimax,3,8,838,9.099,1024.0
8,Expectimax,3,9,378,4.8899,512.0
9,Expectimax,3,10,402,4.7634,512.0
10,Expectimax,3,11,484,5.7968,512.0
11,Expectimax,3,12,314,3.8299,256.0
12,Expectimax,3,13,492,5.7456,512.0
13,Expectimax,3,14,497,4.9831,512.0
14,Expectimax,3,15,478,5.1722,512.0
15,Expectimax,3,16,465,5.2552,512.0
16,Expectimax,3,17,388,5.342,512.0
17,Expectimax,3,18,388,4.8163,512.0
18,Expectimax,3,19,811,8.5318,1024.0
19,Expectimax,3,20,442,4.9361,512.0
20,Expectimax,3,21,275,3.6007,256.0
21,Expectimax,3,22,484,4.8939,512.0
22,Expectimax,3,23,260,2.9338,256.0
23,Expectimax,3,24,733,8.0764,1024.0
24,Expectimax,3,25,741,8.2341,1024.0
25,Expectimax,3,26,518,5.4011,512.0
26,Expectimax,3,27,733,8.0538,1024.0
27,Expectimax,3,28,831,8.6565,1024.0
28,Expectimax,3,29,733,7.9433,1024.0
29,Expectimax,3,30,372,4.7423,512.0
30,Expectimax,3,31,503,5.8049,512.0
31,Expectimax,3,32,490,5.49,512.0
32,Expectimax,3,33,495,5.794,512.0
33,Expectimax,3,34,742,7.8854,1024.0
34,Expectimax,3,35,544,5.831,512.0
35,Expectimax,3,36,699,7.7746,1024.0
36,Expectimax,3,37,732,8.4249,1024.0
37,Expectimax,3,38,710,7.8696,1024.0
38,Expectimax,3,39,733,7.5757,1024.0
39,Expectimax,3,40,772,7.7423,1024.0
40,Expectimax,3,41,449,5.2518,512.0
41,Expectimax,3,42,419,5.3582,512.0
42,Expectimax,3,43,278,3.6453,256.0
43,Expectimax,3,44,489,5.6202,512.0
44,Expectimax,3,45,394,4.7537,512.0
45,Expectimax,3,46,462,4.8336,512.0
46,Expectimax,3,47,238,3.1976,256.0
47,Expectimax,3,48,876,8.4752,1024.0
48,Expectimax,3,49,500,5.2501,512.0
49,Expectimax,3,50,471,5.0413,512.0
50,Expectimax,3,51,445,5.2276,512.0
51,Expectimax,3,52,462,5.1682,512.0
52,Expectimax,3,53,680,7.5181,1024.0
53,Expectimax,3,54,535,5.3614,512.0
54,Expectimax,3,55,424,4.6648,512.0
55,Expectimax,3,56,905,8.7585,1024.0
56,Expectimax,3,57,392,4.5758,512.0
57,Expectimax,3,58,487,5.7307,512.0
58,Expectimax,3,59,510,5.8056,512.0
59,Expectimax,3,60,394,4.8345,512.0
60,Expectimax,3,61,601,7.1045,1024.0
61,Expectimax,3,62,594,6.6279,1024.0
62,Expectimax,3,63,498,5.4351,512.0
63,Expectimax,3,64,401,4.2153,512.0
64,Expectimax,3,65,408,4.5844,512.0
65,Expectimax,3,66,265,3.3971,256.0
66,Expectimax,3,67,495,5.7066,512.0
67,Expectimax,3,68,727,8.1709,1024.0
68,Expectimax,3,69,507,5.829,512.0
69,Expectimax,3,70,483,5.351,512.0
70,Expectimax,3,71,503,5.6952,512.0
71,Expectimax,3,72,479,5.2295,512.0
72,Expectimax,3,73,713,8.7439,1024.0
73,Expectimax,3,74,513,6.2687,512.0
74,Expectimax,3,75,474,5.6904,512.0
75,Expectimax,3,76,749,8.2176,1024.0
76,Expectimax,3,77,507,5.638,512.0
77,Expectimax,3,78,507,5.9779,512.0
78,Expectimax,3,79,486,5.4778,512.0
79,Expectimax,3,80,725,7.6118,1024.0
80,Expectimax,3,81,258,3.5665,256.0
81,Expectimax,3,82,528,5.9247,512.0
82,Expectimax,3,83,730,8.065,1024.0
83,Expectimax,3,84,714,7.58,1024.0
84,Expectimax,3,85,468,5.6109,512.0
85,Expectimax,3,86,392,4.59,512.0
86,Expectimax,3,87,593,6.4137,1024.0
87,Expectimax,3,88,464,5.1417,512.0
88,Expectimax,3,89,493,5.7436,512.0
89,Expectimax,3,90,689,7.5956,1024.0
90,Expectimax,3,91,471,5.456,512.0
91,Expectimax,3,92,518,4.8319,512.0
92,Expectimax,3,93,505,5.7138,512.0
93,Expectimax,3,94,855,9.0454,1024.0
94,Expectimax,3,95,822,8.5119,1024.0
95,Expectimax,3,96,505,5.7933,512.0
96,Expectimax,3,97,713,7.6798,1024.0
97,Expectimax,3,98,315,3.8454,512.0
98,Expectimax,3,99,269,3.3277,256.0
99,Expectimax,3,100,434,4.9871,512.0
100,Expectimax,3,101,479,5.1812,512.0
101,Expectimax,3,102,507,5.2314,512.0
102,Expectimax,3,103,480,5.3492,512.0
103,Expectimax,3,104,729,8.3276,1024.0
104,Expectimax,3,105,468,5.5558,512.0
105,Expectimax,3,106,870,9.8635,1024.0
106,Expectimax,3,107,602,6.8911,1024.0
107,Expectimax,3,108,386,4.3986,512.0
108,Expectimax,3,109,497,5.5614,512.0
109,Expectimax,3,110,512,5.4678,512.0
110,Expectimax,3,111,598,6.821,1024.0
111,Expectimax,3,112,525,5.546,512.0
112,Expectimax,3,113,498,5.6976,512.0
113,Expectimax,3,114,218,2.8196,256.0
114,Expectimax,3,115,498,5.7637,512.0
115,Expectimax,3,116,718,7.4546,1024.0
116,Expectimax,3,117,403,4.6978,512.0
117,Expectimax,3,118,784,8.5583,1024.0
118,Expectimax,3,119,375,4.7869,512.0
119,Expectimax,3,120,209,2.5628,256.0
120,Expectimax,3,121,496,5.9547,512.0
121,Expectimax,3,122,501,6.2603,512.0
122,Expectimax,3,123,676,7.0133,1024.0
123,Expectimax,3,124,481,6.1422,512.0
124,Expectimax,3,125,282,3.1125,256.0
125,Expectimax,3,126,454,5.149,512.0
126,Expectimax,3,127,509,5.7502,512.0
127,Expectimax,3,128,719,7.8235,1024.0
128,Expectimax,3,129,505,5.8541,512.0
129,Expectimax,3,130,498,5.5148,512.0
130,Expectimax,3,131,687,7.5834,1024.0
131,Expectimax,3,132,558,6.509,512.0
132,Expectimax,3,133,859,8.5618,1024.0
133,Expectimax,3,134,435,5.1198,512.0
134,Expectimax,3,135,441,5.0901,512.0
135,Expectimax,3,136,733,7.1412,1024.0
136,Expectimax,3,137,522,5.6502,512.0
137,Expectimax,3,138,491,5.4523,512.0
138,Expectimax,3,139,471,5.0538,512.0
139,Expectimax,3,140,385,4.6273,512.0
140,Expectimax,3,141,1413,13.8077,2048.0
141,Expectimax,3,142,496,5.3302,512.0
142,Expectimax,3,143,765,8.0728,1024.0
143,Expectimax,3,144,481,5.1401,512.0
144,Expectimax,3,145,855,8.5785,1024.0
145,Expectimax,3,146,305,3.4319,256.0
146,Expectimax,3,147,411,4.536,512.0
147,Expectimax,3,148,451,5.216,512.0
148,Expectimax,3,149,476,5.3885,512.0
149,Expectimax,3,150,408,5.1684,512.0
150,Expectimax,3,151,202,2.718,256.0
151,Expectimax,3,152,282,3.533,256.0
152,Expectimax,3,153,511,6.0016,512.0
153,Expectimax,3,154,538,5.7728,512.0
154,Expectimax,3,155,501,5.8637,512.0
155,Expectimax,3,156,501,5.8629,512.0
