,Algorithm,Parameter,Attempt,Iterations,Time (s),Max Tile
0,MCTS,96,1,490,76.6911,512.0
1,MCTS,96,2,491,75.1372,512.0
2,MCTS,96,3,786,111.6197,1024.0
3,MCTS,96,4,804,118.7846,1024.0
4,MCTS,96,5,964,122.9105,1024.0
5,MCTS,96,6,860,121.156,1024.0
6,MCTS,96,7,922,126.6807,1024.0
7,MCTS,96,8,496,72.9406,512.0
8,MCTS,96,9,846,119.9521,1024.0
9,MCTS,96,10,486,74.9392,512.0
10,MCTS,96,11,929,120.4953,1024.0
11,MCTS,96,12,847,121.7301,1024.0
12,MCTS,96,13,955,128.7476,1024.0
13,MCTS,96,14,613,94.0319,1024.0
14,MCTS,96,15,807,111.1922,1024.0
15,MCTS,96,16,1431,183.1714,2048.0
16,MCTS,96,17,1207,158.8852,2048.0
17,MCTS,96,18,1261,175.0572,2048.0
18,MCTS,96,19,477,74.2697,512.0
19,MCTS,96,20,493,74.623,512.0
20,MCTS,96,21,667,102.8509,1024.0
21,MCTS,96,22,734,107.4249,1024.0
22,MCTS,96,23,948,129.7059,1024.0
23,MCTS,96,24,676,98.1637,1024.0
24,MCTS,96,25,981,133.2316,1024.0
25,MCTS,96,26,821,112.2598,1024.0
26,MCTS,96,27,912,126.3928,1024.0
27,MCTS,96,28,502,73.3774,512.0
28,MCTS,96,29,924,126.6787,1024.0
29,MCTS,96,30,483,73.1686,512.0
30,MCTS,96,31,808,117.4766,1024.0
31,MCTS,96,32,475,75.8328,512.0
32,MCTS,96,33,247,44.6053,256.0
33,MCTS,96,34,920,122.5587,1024.0
34,MCTS,96,35,801,109.8804,1024.0
35,MCTS,96,36,142,28.3903,128.0
36,MCTS,96,37,965,128.1152,1024.0
37,MCTS,96,38,874,124.3403,1024.0
38,MCTS,96,39,719,107.56,1024.0
39,MCTS,96,40,1257,171.3818,2048.0
40,MCTS,96,41,244,43.2475,256.0
41,MCTS,96,42,899,124.9004,1024.0
42,MCTS,96,43,710,100.888,1024.0
43,MCTS,96,44,501,77.9873,512.0
44,MCTS,96,45,114,24.6167,128.0
45,MCTS,96,46,171,33.6936,256.0
46,MCTS,96,47,904,123.7621,1024.0
47,MCTS,96,48,494,76.1799,512.0
48,MCTS,96,49,920,123.5866,1024.0
49,MCTS,96,50,963,123.0737,1024.0
50,MCTS,96,51,105,23.1253,128.0
51,MCTS,96,52,902,121.1459,1024.0
52,MCTS,96,53,482,72.3519,512.0
53,MCTS,96,54,166,33.0367,256.0
54,MCTS,96,55,433,69.4489,512.0
55,MCTS,96,56,790,109.4223,1024.0
56,MCTS,96,57,840,115.9508,1024.0
57,MCTS,96,58,505,77.7217,512.0
58,MCTS,96,59,947,125.1715,1024.0
59,MCTS,96,60,383,61.9254,512.0
60,MCTS,96,61,353,59.8631,512.0
61,MCTS,96,62,508,77.9319,512.0
62,MCTS,96,63,493,76.4956,512.0
63,MCTS,96,64,213,41.0124,256.0
64,MCTS,96,65,936,125.6326,1024.0
65,MCTS,96,66,483,73.0676,512.0
66,MCTS,96,67,851,117.1003,1024.0
67,MCTS,96,68,818,117.3992,1024.0
68,MCTS,96,69,118,24.4746,128.0
69,MCTS,96,70,702,106.3413,1024.0
70,MCTS,96,71,859,120.2921,1024.0
71,MCTS,96,72,703,99.0763,1024.0
72,MCTS,96,73,708,103.528,1024.0
73,MCTS,96,74,306,54.083,512.0
74,MCTS,96,75,954,133.0401,1024.0
75,MCTS,96,76,923,128.2836,1024.0
76,MCTS,96,77,920,126.9647,1024.0
77,MCTS,96,78,650,92.586,1024.0
78,MCTS,96,79,1422,187.3878,2048.0
79,MCTS,96,80,253,43.2921,256.0
80,MCTS,96,81,830,113.3566,1024.0
81,MCTS,96,82,1367,180.4002,2048.0
82,MCTS,96,83,503,75.5311,512.0
83,MCTS,96,84,566,87.5807,1024.0
84,MCTS,96,85,947,125.5512,1024.0
85,MCTS,96,86,942,125.282,1024.0
86,MCTS,96,87,932,129.6271,1024.0
87,MCTS,96,88,977,132.5406,1024.0
88,MCTS,96,89,254,42.9768,256.0
89,MCTS,96,90,938,128.4349,1024.0
90,MCTS,96,91,484,76.6769,512.0
91,MCTS,96,92,938,128.7133,1024.0
92,MCTS,96,93,1191,162.8453,2048.0
93,MCTS,96,94,713,105.3984,1024.0
94,MCTS,96,95,722,107.0847,1024.0
95,MCTS,96,96,487,75.1091,512.0
96,MCTS,96,97,913,126.3492,1024.0
97,MCTS,96,98,950,130.2022,1024.0
98,MCTS,96,99,441,71.0329,512.0
99,MCTS,96,100,977,129.9324,1024.0
100,MCTS,96,101,257,45.068,256.0
101,MCTS,96,102,890,127.2077,1024.0
102,MCTS,96,103,714,104.2523,1024.0
103,MCTS,96,104,495,75.166,512.0
104,MCTS,96,105,923,125.3541,1024.0
105,MCTS,96,106,965,129.76,1024.0
106,MCTS,96,107,491,76.3152,512.0
107,MCTS,96,108,494,77.0202,512.0
108,MCTS,96,109,141,28.7222,128.0
109,MCTS,96,110,746,105.9948,1024.0
110,MCTS,96,111,495,77.4585,512.0
111,MCTS,96,112,241,44.2479,256.0
112,MCTS,96,113,722,105.2041,1024.0
113,MCTS,96,114,942,126.139,1024.0
114,MCTS,96,115,954,129.9012,1024.0
115,MCTS,96,116,869,120.1064,1024.0
116,MCTS,96,117,518,76.7675,512.0
117,MCTS,96,118,834,117.8487,1024.0
118,MCTS,96,119,711,103.4714,1024.0
119,MCTS,96,120,269,45.6875,256.0
120,MCTS,96,121,262,45.9605,256.0
121,MCTS,96,122,753,103.4012,1024.0
122,MCTS,96,123,480,75.9135,512.0
123,MCTS,96,124,480,74.4452,512.0
124,MCTS,96,125,728,109.5708,1024.0
125,MCTS,96,126,534,85.0125,1024.0
126,MCTS,96,127,840,115.4305,1024.0
127,MCTS,96,128,149,29.4204,128.0
128,MCTS,96,129,894,120.7984,1024.0
129,MCTS,96,130,722,105.3649,1024.0
130,MCTS,96,131,968,134.7857,1024.0
131,MCTS,96,132,619,94.2254,1024.0
132,MCTS,96,133,953,128.6921,1024.0
133,MCTS,96,134,906,124.5277,1024.0
134,MCTS,96,135,833,119.1202,1024.0
135,MCTS,96,136,518,78.0175,512.0
136,MCTS,96,137,752,111.4201,1024.0
137,MCTS,96,138,367,60.5588,512.0
138,MCTS,96,139,258,45.3322,256.0
139,MCTS,96,140,846,117.2175,1024.0
140,MCTS,96,141,245,43.9927,256.0
141,MCTS,96,142,743,109.357,1024.0
142,MCTS,96,143,910,122.7328,1024.0
143,MCTS,96,144,739,107.0851,1024.0
144,MCTS,96,145,1200,155.9035,2048.0
145,MCTS,96,146,262,43.8129,256.0
146,MCTS,96,147,910,128.3675,1024.0
147,MCTS,96,148,1422,183.1022,2048.0
148,MCTS,96,149,843,116.9187,1024.0
149,MCTS,96,150,426,68.1708,512.0
150,MCTS,96,151,499,76.346,512.0
151,MCTS,96,152,724,103.8909,1024.0
152,MCTS,96,153,714,101.5154,1024.0
153,MCTS,96,154,481,74.0464,512.0
154,MCTS,96,155,1423,190.2178,2048.0
155,MCTS,96,156,1077,145.774,2048.0
156,MCTS,96,157,686,101.6277,1024.0
157,MCTS,96,158,729,103.141,1024.0
158,MCTS,96,159,707,106.027,1024.0
159,MCTS,96,160,916,126.5741,1024.0
160,MCTS,96,161,139,28.1216,128.0
161,MCTS,96,162,497,74.5331,512.0
162,MCTS,96,163,496,75.4025,512.0
163,MCTS,96,164,268,47.0475,256.0
164,MCTS,96,165,956,128.0789,1024.0
165,MCTS,96,166,144,28.0998,128.0
166,MCTS,96,167,247,44.9134,256.0
167,MCTS,96,168,444,70.8783,512.0
168,MCTS,96,169,717,102.5527,1024.0
169,MCTS,96,170,428,68.1124,512.0
170,MCTS,96,171,741,103.7143,1024.0
171,MCTS,96,172,481,77.737,512.0
172,MCTS,96,173,716,103.8778,1024.0
173,MCTS,96,174,261,46.2855,256.0
174,MCTS,96,175,946,125.3089,1024.0
175,MCTS,96,176,915,126.7843,1024.0
176,MCTS,96,177,831,122.3205,1024.0
177,MCTS,96,178,433,68.2513,512.0
178,MCTS,96,179,1170,155.9129,2048.0
179,MCTS,96,180,936,121.249,1024.0
180,MCTS,96,181,610,93.2326,1024.0
181,MCTS,96,182,903,125.8958,1024.0
182,MCTS,96,183,121,24.8022,128.0
183,MCTS,96,184,605,89.8865,1024.0
184,MCTS,96,185,718,102.3113,1024.0
185,MCTS,96,186,1182,154.8785,2048.0
186,MCTS,96,187,264,45.9096,256.0
187,MCTS,96,188,741,107.5095,1024.0
188,MCTS,96,189,837,108.6569,1024.0
189,MCTS,96,190,1404,181.8183,2048.0
190,MCTS,96,191,1392,183.1793,2048.0
191,MCTS,96,192,948,126.5793,1024.0
192,MCTS,96,193,224,42.3772,256.0
193,MCTS,96,194,596,86.8471,1024.0
194,MCTS,96,195,913,119.8357,1024.0
195,MCTS,96,196,491,74.4754,512.0
196,MCTS,96,197,464,73.8355,512.0
197,MCTS,96,198,491,76.5396,512.0
198,MCTS,96,199,871,122.9234,1024.0
199,MCTS,96,200,517,77.7416,512.0
