,Algorithm,Parameter,Attempt,Iterations,Time (s),Max Tile
0,Random,0,1,80,0.0055,64.0
1,Random,0,2,102,0.0039,64.0
2,Random,0,3,99,0.0035,64.0
3,Random,0,4,92,0.0035,64.0
4,Random,0,5,49,0.0017,32.0
5,Random,0,6,108,0.0038,64.0
6,Random,0,7,108,0.0043,64.0
7,Random,0,8,190,0.0072,256.0
8,Random,0,9,113,0.0042,128.0
9,Random,0,10,198,0.0079,256.0
10,Random,0,11,195,0.0075,256.0
11,Random,0,12,148,0.0056,128.0
12,Random,0,13,95,0.0038,64.0
13,Random,0,14,82,0.0029,64.0
14,Random,0,15,69,0.0024,32.0
15,Random,0,16,65,0.0024,32.0
16,Random,0,17,164,0.0062,128.0
17,Random,0,18,108,0.0038,128.0
18,Random,0,19,125,0.005,64.0
19,Random,0,20,119,0.0046,128.0
20,Random,0,21,161,0.0059,128.0
21,Random,0,22,110,0.0042,128.0
22,Random,0,23,127,0.0047,128.0
23,Random,0,24,206,0.008,256.0
24,Random,0,25,121,0.0048,128.0
25,Random,0,26,86,0.0031,64.0
26,Random,0,27,141,0.0054,128.0
27,Random,0,28,121,0.0045,128.0
28,Random,0,29,109,0.0043,64.0
29,Random,0,30,121,0.0045,64.0
30,Random,0,31,193,0.0072,256.0
31,Random,0,32,143,0.0055,128.0
32,Random,0,33,87,0.0032,64.0
33,Random,0,34,82,0.003,64.0
34,Random,0,35,102,0.0042,64.0
35,Random,0,36,115,0.0043,128.0
36,Random,0,37,65,0.0023,64.0
37,Random,0,38,110,0.0042,128.0
38,Random,0,39,101,0.0041,64.0
39,Random,0,40,80,0.0029,64.0
40,Random,0,41,149,0.0057,128.0
41,Random,0,42,112,0.0042,64.0
42,Random,0,43,85,0.0032,64.0
43,Random,0,44,85,0.0032,64.0
44,Random,0,45,113,0.0041,128.0
45,Random,0,46,138,0.0054,128.0
46,Random,0,47,37,0.0013,16.0
47,Random,0,48,160,0.0062,128.0
48,Random,0,49,69,0.0024,64.0
49,Random,0,50,140,0.0056,128.0
50,Random,0,51,177,0.0071,128.0
51,Random,0,52,250,0.0098,256.0
52,Random,0,53,130,0.0052,128.0
53,Random,0,54,103,0.004,128.0
54,Random,0,55,128,0.0049,128.0
55,Random,0,56,188,0.0075,128.0
56,Random,0,57,81,0.0031,64.0
57,Random,0,58,81,0.0031,64.0
58,Random,0,59,145,0.0056,128.0
59,Random,0,60,129,0.0049,128.0
60,Random,0,61,57,0.0021,32.0
61,Random,0,62,106,0.0042,64.0
62,Random,0,63,140,0.0051,128.0
63,Random,0,64,95,0.0039,64.0
64,Random,0,65,119,0.0043,128.0
65,Random,0,66,73,0.0027,64.0
66,Random,0,67,94,0.0037,64.0
67,Random,0,68,151,0.0062,128.0
68,Random,0,69,88,0.0033,64.0
69,Random,0,70,114,0.0043,128.0
70,Random,0,71,88,0.0033,64.0
71,Random,0,72,183,0.0075,256.0
72,Random,0,73,124,0.0048,64.0
73,Random,0,74,114,0.0044,128.0
74,Random,0,75,106,0.004,64.0
75,Random,0,76,135,0.0057,64.0
76,Random,0,77,135,0.0054,128.0
77,Random,0,78,89,0.0035,64.0
78,Random,0,79,110,0.0043,128.0
79,Random,0,80,111,0.0045,128.0
80,Random,0,81,137,0.0054,128.0
81,Random,0,82,88,0.0034,64.0
82,Random,0,83,107,0.0041,64.0
83,Random,0,84,124,0.0047,128.0
84,Random,0,85,216,0.0091,256.0
85,Random,0,86,121,0.0049,128.0
86,Random,0,87,135,0.0055,128.0
87,Random,0,88,135,0.0054,128.0
88,Random,0,89,127,0.0048,128.0
89,Random,0,90,94,0.0038,64.0
90,Random,0,91,126,0.0048,128.0
91,Random,0,92,98,0.0038,128.0
92,Random,0,93,83,0.0032,64.0
93,Random,0,94,135,0.0054,128.0
94,Random,0,95,60,0.0024,32.0
95,Random,0,96,168,0.0066,128.0
96,Random,0,97,115,0.0044,128.0
97,Random,0,98,179,0.0073,256.0
98,Random,0,99,181,0.0073,256.0
99,Random,0,100,134,0.0054,128.0
100,Random,0,101,107,0.0042,128.0
101,Random,0,102,55,0.0022,32.0
102,Random,0,103,109,0.004,128.0
103,Random,0,104,143,0.0058,128.0
104,Random,0,105,213,0.0083,256.0
105,Random,0,106,60,0.0021,32.0
106,Random,0,107,85,0.0032,64.0
107,Random,0,108,103,0.0039,128.0
108,Random,0,109,256,0.0116,256.0
109,Random,0,110,147,0.0061,128.0
110,Random,0,111,151,0.0062,128.0
